# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Wed Sep 21 16:46:17 2016
# 
# -------------------------------------------------
# 
# System Parameters (elliptic orbit):
# 
#   <Eccentricity>     0.150  (dimensionless)
#   <Omega>          120.000  (degree)
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> On
#   <Limb darkening>        square root
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  5.444e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    78.216  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    28.009     14.004   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>         28.808   17457.877   (dimensionless)
#   <Polar Radius>     0.166      0.007   (dimensionless)
#   <Point Radius>  0.171532   0.006876   (dimensionless)
#   <Mean Radius>   0.166822   0.007043   (dimensionless)
#   <Volume>        0.019922   0.000001   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.114     69.386   (m kg/s^2)
#   <Polar Radius>  2.48e+10   1.03e+09   (meter)
#   <Point Radius>  2.56e+10   1.03e+09   (meter)
#   <Mean Radius>   2.49e+10   1.05e+09   (meter)
#   <Volume>        6.62e+31   4.86e+27   (cubic meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    35.602      1.474   (solar radius)
#   <Point Radius>    36.772      1.474   (solar radius)
#   <Mean Radius>     35.762      1.510   (solar radius)
#   <Volume>        196266.087     14.414   (solar volumes)
# 
#   <Mean Temp.>     20000.0     3143.2   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.650      0.020   (dimensionless)
#   <Temperature>    20000.0     2000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.055   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.4376   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Surface Potential Secondary>    132.6283   (dimensionless)
#   <... in Primary frame>           264.7566   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        383541.8886   (minutes +/- 185.22)
#   <Primary eclipse end>          392802.8315   (minutes +/- 185.22)
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.11261e+16      2.9362e+09
#   Band   1:     6.53464e+15     5.47377e+09
#   Band   2:     3.26964e+15     7.81269e+09
#   Band   3:     2.21767e+15      9.4264e+09
#   Band   4:       9.921e+14     9.76215e+09
#   Band   5:     1.96132e+14     6.61895e+09
#   Band   6:     7.47083e+13     3.91668e+09
#   Band   7:     2.33177e+13     1.87599e+09
#   Band   8:     1.15003e+16     2.06441e+09
#   Band   9:     7.34898e+15     4.10376e+09
#   Band  10:     5.07946e+15     5.08681e+09
#   Band  11:     3.15066e+15     7.37099e+09
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.11287e+16        0.737375
#   Band   1:       6.536e+15        0.737375
#   Band   2:     3.27024e+15        0.737375
#   Band   3:     2.21806e+15        0.737375
#   Band   4:     9.92262e+14        0.737375
#   Band   5:     1.96164e+14        0.737375
#   Band   6:     7.47215e+13        0.737375
#   Band   7:     2.33223e+13        0.737375
#   Band   8:      1.1503e+16        0.737375
#   Band   9:     7.35055e+15        0.737375
#   Band  10:     5.08047e+15        0.737375
#   Band  11:     3.15123e+15        0.737375
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2626 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -30.12       15.23
    71 -0.1916  0.009001  0.008637  0.008044  0.007708  0.007287  0.006786  0.006568  0.006408  0.009069  0.008805  0.008470  0.008051      -26.72       13.46
    72 -0.1906  0.009165  0.008794  0.008191  0.007849  0.007421  0.006911  0.006690  0.006527  0.009234  0.008964  0.008623  0.008197      -26.63       13.42
    73 -0.1896  0.009336  0.008957  0.008345  0.007999  0.007564  0.007047  0.006822  0.006657  0.009406  0.009130  0.008784  0.008352      -26.54       13.37
    74 -0.1886  0.009501  0.009115  0.008493  0.008141  0.007699  0.007173  0.006945  0.006777  0.009572  0.009291  0.008939  0.008500      -26.45       13.33
    75 -0.1876  0.009671  0.009278  0.008646  0.008289  0.007841  0.007307  0.007076  0.006905  0.009743  0.009456  0.009098  0.008653      -26.36       13.28
    76 -0.1866  0.009846  0.009445  0.008805  0.008444  0.007989  0.007449  0.007215  0.007043  0.009919  0.009626  0.009263  0.008811      -26.27       13.23
    77 -0.1856  0.010011  0.009603  0.008953  0.008587  0.008125  0.007577  0.007339  0.007164  0.010085  0.009787  0.009418  0.008959      -26.18       13.19
    78 -0.1846  0.010168  0.009754  0.009093  0.008721  0.008252  0.007694  0.007452  0.007274  0.010243  0.009940  0.009565  0.009099      -26.08       13.14
    79 -0.1836  0.010327  0.009906  0.009234  0.008857  0.008380  0.007814  0.007568  0.007387  0.010403  0.010095  0.009714  0.009241      -25.99       13.09
    80 -0.1826  0.010490  0.010063  0.009381  0.008998  0.008515  0.007940  0.007691  0.007507  0.010567  0.010254  0.009868  0.009388      -25.89       13.04
    81 -0.1816  0.010658  0.010223  0.009532  0.009144  0.008654  0.008072  0.007820  0.007634  0.010736  0.010417  0.010025  0.009539       -25.8          13
    82 -0.1806  0.010821  0.010379  0.009679  0.009286  0.008790  0.008199  0.007944  0.007755  0.010900  0.010576  0.010179  0.009686       -25.7       12.95
    83 -0.1796  0.010989  0.010540  0.009830  0.009433  0.008930  0.008332  0.008073  0.007883  0.011069  0.010739  0.010336  0.009837       -25.6        12.9
    84 -0.1786  0.011160  0.010703  0.009985  0.009583  0.009075  0.008470  0.008209  0.008016  0.011241  0.010905  0.010497  0.009992       -25.5       12.85
    85 -0.1776  0.011325  0.010861  0.010135  0.009728  0.009213  0.008601  0.008337  0.008142  0.011407  0.011065  0.010652  0.010141      -25.41        12.8
    86 -0.1766  0.011477  0.011007  0.010270  0.009857  0.009335  0.008715  0.008446  0.008248  0.011561  0.011214  0.010795  0.010276      -25.31       12.75
    87 -0.1756  0.011631  0.011154  0.010407  0.009989  0.009459  0.008830  0.008558  0.008357  0.011715  0.011364  0.010939  0.010413      -25.21        12.7
    88 -0.1746  0.011788  0.011304  0.010547  0.010124  0.009588  0.008950  0.008675  0.008471  0.011873  0.011517  0.011086  0.010554       -25.1       12.65
    89 -0.1736  0.011950  0.011460  0.010693  0.010266  0.009724  0.009079  0.008800  0.008594  0.012036  0.011674  0.011238  0.010700         -25       12.59
    90 -0.1726  0.012110  0.011613  0.010837  0.010405  0.009856  0.009204  0.008922  0.008714  0.012197  0.011829  0.011388  0.010843       -24.9       12.54
    91 -0.1716  0.012273  0.011768  0.010984  0.010547  0.009993  0.009333  0.009049  0.008838  0.012361  0.011988  0.011541  0.010990       -24.8       12.49
    92 -0.1706  0.012433  0.011921  0.011128  0.010687  0.010126  0.009459  0.009171  0.008958  0.012522  0.012143  0.011691  0.011134      -24.69       12.44
    93 -0.1696  0.012586  0.012068  0.011265  0.010818  0.010251  0.009576  0.009285  0.009069  0.012676  0.012292  0.011835  0.011271      -24.59       12.38
    94 -0.1686  0.012739  0.012214  0.011402  0.010950  0.010376  0.009694  0.009399  0.009181  0.012829  0.012440  0.011978  0.011408      -24.48       12.33
    95 -0.1676  0.012891  0.012359  0.011538  0.011081  0.010501  0.009810  0.009513  0.009293  0.012982  0.012588  0.012120  0.011544      -24.38       12.28
    96 -0.1666  0.013038  0.012500  0.011669  0.011207  0.010620  0.009921  0.009620  0.009397  0.013131  0.012732  0.012259  0.011675      -24.27       12.22
    97 -0.1656  0.013191  0.012647  0.011807  0.011340  0.010747  0.010040  0.009736  0.009511  0.013285  0.012881  0.012402  0.011813      -24.16       12.17
    98 -0.1646  0.013353  0.012801  0.011954  0.011483  0.010885  0.010172  0.009866  0.009639  0.013447  0.013037  0.012554  0.011959      -24.05       12.11
    99 -0.1636  0.013510  0.012951  0.012095  0.011621  0.011017  0.010298  0.009988  0.009759  0.013605  0.013190  0.012701  0.012101      -23.94       12.06
   100 -0.1626  0.013661  0.013096  0.012231  0.011752  0.011142  0.010416  0.010104  0.009872  0.013757  0.013337  0.012843  0.012237      -23.84          12
   101 -0.1616  0.013811  0.013240  0.012366  0.011883  0.011267  0.010533  0.010218  0.009984  0.013909  0.013483  0.012984  0.012372      -23.73       11.95
   102 -0.1606  0.013957  0.013379  0.012497  0.012009  0.011387  0.010646  0.010328  0.010092  0.014055  0.013625  0.013121  0.012503      -23.61       11.89
   103 -0.1596  0.014097  0.013513  0.012621  0.012128  0.011499  0.010750  0.010428  0.010189  0.014196  0.013760  0.013251  0.012627       -23.5       11.83
   104 -0.1586  0.014239  0.013649  0.012748  0.012250  0.011615  0.010858  0.010533  0.010292  0.014339  0.013899  0.013385  0.012754      -23.39       11.78
   105 -0.1576  0.014387  0.013790  0.012881  0.012379  0.011738  0.010974  0.010647  0.010403  0.014487  0.014042  0.013523  0.012887      -23.28       11.72
   106 -0.1566  0.014537  0.013933  0.013016  0.012510  0.011864  0.011094  0.010764  0.010519  0.014638  0.014188  0.013664  0.013022      -23.17       11.66
   107 -0.1556  0.014687  0.014077  0.013152  0.012643  0.011991  0.011216  0.010883  0.010636  0.014789  0.014333  0.013805  0.013158      -23.05       11.61
   108 -0.1546  0.014835  0.014218  0.013286  0.012772  0.012116  0.011334  0.010999  0.010750  0.014938  0.014477  0.013944  0.013291      -22.94       11.55
   109 -0.1536  0.014979  0.014356  0.013416  0.012898  0.012236  0.011448  0.011110  0.010859  0.015083  0.014616  0.014079  0.013421      -22.82       11.49
   110 -0.1526  0.015109  0.014480  0.013531  0.013007  0.012339  0.011542  0.011201  0.010947  0.015213  0.014743  0.014200  0.013536      -22.71       11.43
   111 -0.1516  0.015240  0.014605  0.013647  0.013119  0.012444  0.011639  0.011295  0.011038  0.015345  0.014871  0.014323  0.013652      -22.59       11.37
   112 -0.1506  0.015373  0.014733  0.013766  0.013233  0.012552  0.011741  0.011393  0.011134  0.015479  0.015000  0.014447  0.013771      -22.48       11.32
   113 -0.1496  0.015512  0.014865  0.013890  0.013353  0.012667  0.011850  0.011499  0.011238  0.015619  0.015135  0.014577  0.013895      -22.36       11.26
   114 -0.1486  0.015652  0.014999  0.014017  0.013476  0.012785  0.011961  0.011608  0.011346  0.015760  0.015271  0.014709  0.014022      -22.24        11.2
   115 -0.1476  0.015792  0.015133  0.014144  0.013600  0.012903  0.012074  0.011719  0.011454  0.015901  0.015407  0.014840  0.014149      -22.12       11.14
   116 -0.1466  0.015933  0.015268  0.014271  0.013724  0.013023  0.012188  0.011831  0.011565  0.016042  0.015543  0.014972  0.014276      -22.01       11.08
   117 -0.1456  0.016066  0.015395  0.014391  0.013840  0.013134  0.012292  0.011933  0.011665  0.016176  0.015672  0.015097  0.014396      -21.89       11.02
   118 -0.1446  0.016194  0.015517  0.014505  0.013949  0.013238  0.012390  0.012028  0.011757  0.016305  0.015797  0.015217  0.014510      -21.77       10.96
   119 -0.1436  0.016318  0.015635  0.014615  0.014055  0.013337  0.012482  0.012117  0.011844  0.016429  0.015917  0.015333  0.014620      -21.65        10.9
   120 -0.1426  0.016444  0.015756  0.014728  0.014164  0.013441  0.012579  0.012211  0.011937  0.016557  0.016040  0.015451  0.014733      -21.53       10.84
   121 -0.1416  0.016574  0.015880  0.014844  0.014277  0.013549  0.012682  0.012311  0.012035  0.016687  0.016166  0.015572  0.014849      -21.41       10.78
   122 -0.1406  0.016702  0.016003  0.014960  0.014389  0.013656  0.012783  0.012410  0.012132  0.016816  0.016290  0.015693  0.014965      -21.28       10.71
   123 -0.1396  0.016832  0.016127  0.015077  0.014502  0.013765  0.012886  0.012511  0.012231  0.016947  0.016416  0.015814  0.015082      -21.16       10.65
   124 -0.1386  0.016965  0.016254  0.015198  0.014620  0.013879  0.012995  0.012618  0.012336  0.017080  0.016544  0.015939  0.015202      -21.04       10.59
   125 -0.1376  0.017095  0.016378  0.015316  0.014735  0.013989  0.013100  0.012721  0.012438  0.017211  0.016670  0.016061  0.015320      -20.92       10.53
   126 -0.1366  0.017217  0.016495  0.015426  0.014841  0.014091  0.013197  0.012815  0.012530  0.017335  0.016789  0.016176  0.015430      -20.79       10.47
   127 -0.1356  0.017327  0.016600  0.015522  0.014934  0.014177  0.013276  0.012891  0.012604  0.017445  0.016896  0.016278  0.015527      -20.67        10.4
   128 -0.1346  0.017441  0.016708  0.015623  0.015030  0.014268  0.013360  0.012973  0.012683  0.017559  0.017007  0.016384  0.015627      -20.55       10.34
   129 -0.1336  0.017558  0.016820  0.015728  0.015132  0.014365  0.013451  0.013062  0.012770  0.017677  0.017121  0.016494  0.015733      -20.42       10.28
   130 -0.1326  0.017678  0.016935  0.015836  0.015236  0.014465  0.013546  0.013154  0.012861  0.017798  0.017237  0.016606  0.015840       -20.3       10.22
   131 -0.1316  0.017801  0.017052  0.015947  0.015345  0.014570  0.013646  0.013252  0.012958  0.017921  0.017355  0.016721  0.015951      -20.17       10.15
   132 -0.1306  0.017919  0.017165  0.016054  0.015449  0.014670  0.013741  0.013345  0.013049  0.018040  0.017470  0.016833  0.016058      -20.05       10.09
   133 -0.1296  0.018035  0.017276  0.016159  0.015550  0.014767  0.013833  0.013435  0.013137  0.018157  0.017583  0.016941  0.016163      -19.92       10.03
   134 -0.1286  0.018152  0.017388  0.016265  0.015653  0.014866  0.013927  0.013527  0.013228  0.018275  0.017696  0.017051  0.016269      -19.79       9.962
   135 -0.1276  0.018256  0.017487  0.016356  0.015741  0.014948  0.014003  0.013601  0.013300  0.018379  0.017797  0.017148  0.016360      -19.67       9.898
   136 -0.1266  0.018357  0.017583  0.016446  0.015826  0.015028  0.014077  0.013672  0.013368  0.018481  0.017895  0.017242  0.016450      -19.54       9.834
   137 -0.1256  0.018460  0.017681  0.016537  0.015913  0.015111  0.014153  0.013746  0.013441  0.018584  0.017995  0.017338  0.016541      -19.41       9.769
   138 -0.1246  0.018567  0.017783  0.016633  0.016006  0.015199  0.014237  0.013827  0.013520  0.018692  0.018099  0.017438  0.016637      -19.28       9.705
   139 -0.1236  0.018680  0.017892  0.016736  0.016107  0.015296  0.014330  0.013918  0.013610  0.018806  0.018209  0.017544  0.016739      -19.15        9.64
   140 -0.1226  0.018795  0.018001  0.016840  0.016209  0.015395  0.014425  0.014012  0.013703  0.018921  0.018319  0.017652  0.016844      -19.03       9.575
   141 -0.1216  0.018908  0.018109  0.016943  0.016310  0.015493  0.014519  0.014105  0.013795  0.019035  0.018429  0.017758  0.016947       -18.9        9.51
   142 -0.1206  0.019014  0.018211  0.017039  0.016403  0.015583  0.014604  0.014189  0.013877  0.019142  0.018531  0.017858  0.017042      -18.77       9.445
   143 -0.1196  0.019115  0.018306  0.017129  0.016490  0.015666  0.014682  0.014265  0.013951  0.019243  0.018629  0.017952  0.017132      -18.64       9.379
   144 -0.1186  0.019201  0.018389  0.017204  0.016561  0.015731  0.014741  0.014321  0.014005  0.019330  0.018713  0.018032  0.017208      -18.51       9.314
   145 -0.1176  0.019293  0.018476  0.017285  0.016638  0.015803  0.014808  0.014385  0.014067  0.019421  0.018802  0.018117  0.017288      -18.38       9.248
   146 -0.1166  0.019388  0.018567  0.017370  0.016720  0.015881  0.014881  0.014456  0.014137  0.019517  0.018894  0.018206  0.017373      -18.25       9.182
   147 -0.1156  0.019489  0.018664  0.017462  0.016809  0.015968  0.014964  0.014537  0.014217  0.019619  0.018992  0.018301  0.017465      -18.12       9.116
   148 -0.1146  0.019584  0.018754  0.017547  0.016892  0.016046  0.015037  0.014609  0.014287  0.019715  0.019085  0.018390  0.017550      -17.98        9.05
   149 -0.1136  0.019684  0.018849  0.017637  0.016980  0.016131  0.015118  0.014688  0.014366  0.019815  0.019181  0.018483  0.017640      -17.85       8.983
   150 -0.1126  0.019784  0.018945  0.017729  0.017069  0.016218  0.015202  0.014771  0.014447  0.019916  0.019278  0.018578  0.017732      -17.72       8.917
   151 -0.1116  0.019881  0.019037  0.017816  0.017155  0.016300  0.015281  0.014848  0.014523  0.020013  0.019371  0.018668  0.017819      -17.59        8.85
   152 -0.1106  0.019972  0.019124  0.017898  0.017234  0.016376  0.015352  0.014918  0.014592  0.020104  0.019459  0.018753  0.017900      -17.46       8.784
   153 -0.1096  0.020050  0.019198  0.017965  0.017298  0.016435  0.015406  0.014969  0.014641  0.020183  0.019535  0.018825  0.017968      -17.32       8.717
   154 -0.1086  0.020127  0.019272  0.018033  0.017362  0.016495  0.015461  0.015021  0.014691  0.020261  0.019611  0.018897  0.018036      -17.19        8.65
   155 -0.1076  0.020211  0.019352  0.018108  0.017434  0.016564  0.015524  0.015083  0.014752  0.020345  0.019692  0.018976  0.018111      -17.06       8.582
   156 -0.1066  0.020299  0.019436  0.018188  0.017512  0.016638  0.015595  0.015153  0.014821  0.020434  0.019777  0.019058  0.018190      -16.92       8.515
   157 -0.1056  0.020387  0.019520  0.018267  0.017589  0.016712  0.015666  0.015222  0.014889  0.020522  0.019862  0.019140  0.018270      -16.79       8.448
   158 -0.1046  0.020478  0.019607  0.018350  0.017671  0.016792  0.015743  0.015298  0.014963  0.020614  0.019950  0.019226  0.018353      -16.66        8.38
   159 -0.1036  0.020565  0.019690  0.018429  0.017748  0.016866  0.015814  0.015368  0.015033  0.020701  0.020034  0.019308  0.018432      -16.52       8.312
   160 -0.1026  0.020651  0.019771  0.018506  0.017823  0.016939  0.015884  0.015437  0.015100  0.020787  0.020116  0.019387  0.018509      -16.39       8.245
   161 -0.1016  0.020730  0.019847  0.018577  0.017892  0.017005  0.015946  0.015497  0.015160  0.020867  0.020193  0.019461  0.018580      -16.25       8.177
   162 -0.1006  0.020799  0.019913  0.018638  0.017950  0.017059  0.015995  0.015544  0.015205  0.020936  0.020261  0.019526  0.018640      -16.12       8.109
   163 -0.0996  0.020866  0.019976  0.018696  0.018004  0.017109  0.016040  0.015587  0.015247  0.021003  0.020325  0.019588  0.018698      -15.98       8.041
   164 -0.0986  0.020937  0.020045  0.018759  0.018065  0.017167  0.016094  0.015639  0.015297  0.021075  0.020395  0.019654  0.018762      -15.85       7.972
   165 -0.0976  0.021013  0.020116  0.018827  0.018131  0.017230  0.016153  0.015698  0.015354  0.021151  0.020468  0.019725  0.018829      -15.71       7.904
   166 -0.0966  0.021088  0.020188  0.018895  0.018196  0.017293  0.016213  0.015756  0.015412  0.021226  0.020540  0.019795  0.018897      -15.58       7.836
   167 -0.0956  0.021166  0.020263  0.018967  0.018267  0.017361  0.016279  0.015821  0.015477  0.021306  0.020616  0.019869  0.018969      -15.44       7.767
   168 -0.0946  0.021246  0.020339  0.019039  0.018338  0.017431  0.016347  0.015888  0.015542  0.021385  0.020692  0.019943  0.019041       -15.3       7.698
   169 -0.0936  0.021319  0.020409  0.019106  0.018403  0.017493  0.016406  0.015947  0.015600  0.021459  0.020763  0.020012  0.019107      -15.17        7.63
   170 -0.0926  0.021389  0.020475  0.019168  0.018464  0.017551  0.016461  0.016000  0.015653  0.021529  0.020831  0.020077  0.019170      -15.03       7.561
   171 -0.0916  0.021449  0.020532  0.019221  0.018514  0.017598  0.016504  0.016042  0.015693  0.021590  0.020889  0.020133  0.019223      -14.89       7.492
   172 -0.0906  0.021503  0.020584  0.019268  0.018558  0.017638  0.016540  0.016075  0.015725  0.021644  0.020943  0.020183  0.019270      -14.76       7.423
   173 -0.0896  0.021564  0.020642  0.019321  0.018610  0.017687  0.016585  0.016119  0.015767  0.021705  0.021001  0.020240  0.019323      -14.62       7.354
   174 -0.0886  0.021631  0.020706  0.019382  0.018669  0.017744  0.016640  0.016173  0.015820  0.021773  0.021066  0.020302  0.019384      -14.48       7.285
   175 -0.0876  0.021697  0.020769  0.019442  0.018727  0.017800  0.016693  0.016225  0.015872  0.021839  0.021129  0.020364  0.019443      -14.35       7.215
   176 -0.0866  0.021761  0.020829  0.019499  0.018783  0.017854  0.016745  0.016275  0.015922  0.021903  0.021191  0.020423  0.019501      -14.21       7.146
   177 -0.0856  0.021826  0.020892  0.019558  0.018841  0.017910  0.016799  0.016329  0.015974  0.021969  0.021254  0.020485  0.019560      -14.07       7.077
   178 -0.0846  0.021893  0.020956  0.019621  0.018902  0.017970  0.016857  0.016387  0.016032  0.022037  0.021319  0.020548  0.019622      -13.93       7.007
   179 -0.0836  0.021953  0.021013  0.019674  0.018955  0.018021  0.016905  0.016433  0.016078  0.022097  0.021376  0.020604  0.019676      -13.79       6.938
   180 -0.0826  0.022010  0.021067  0.019726  0.019004  0.018068  0.016950  0.016478  0.016121  0.022154  0.021432  0.020657  0.019727      -13.66       6.868
   181 -0.0816  0.022054  0.021109  0.019762  0.019038  0.018099  0.016976  0.016502  0.016144  0.022198  0.021474  0.020697  0.019764      -13.52       6.798
   182 -0.0806  0.022098  0.021151  0.019800  0.019074  0.018131  0.017005  0.016529  0.016169  0.022242  0.021518  0.020738  0.019802      -13.38       6.728
   183 -0.0796  0.022148  0.021198  0.019845  0.019116  0.018171  0.017042  0.016565  0.016204  0.022293  0.021566  0.020785  0.019846      -13.24       6.659
   184 -0.0786  0.022201  0.021248  0.019891  0.019162  0.018215  0.017083  0.016605  0.016244  0.022345  0.021617  0.020833  0.019893       -13.1       6.589
   185 -0.0776  0.022254  0.021299  0.019940  0.019209  0.018260  0.017127  0.016648  0.016286  0.022399  0.021668  0.020884  0.019941      -12.96       6.519
   186 -0.0766  0.022309  0.021352  0.019990  0.019258  0.018308  0.017173  0.016693  0.016331  0.022454  0.021721  0.020935  0.019991      -12.82       6.449
   187 -0.0756  0.022367  0.021407  0.020044  0.019312  0.018360  0.017224  0.016744  0.016382  0.022513  0.021777  0.020990  0.020045      -12.68       6.379
   188 -0.0746  0.022422  0.021459  0.020094  0.019361  0.018409  0.017271  0.016791  0.016428  0.022568  0.021830  0.021041  0.020095      -12.55       6.309
   189 -0.0736  0.022472  0.021507  0.020140  0.019406  0.018453  0.017313  0.016833  0.016470  0.022619  0.021878  0.021088  0.020141      -12.41       6.239
   190 -0.0726  0.022516  0.021549  0.020179  0.019444  0.018488  0.017347  0.016865  0.016501  0.022663  0.021920  0.021129  0.020179      -12.27       6.168
   191 -0.0716  0.022548  0.021579  0.020205  0.019467  0.018508  0.017363  0.016879  0.016514  0.022694  0.021952  0.021158  0.020205      -12.13       6.098
   192 -0.0706  0.022580  0.021609  0.020231  0.019491  0.018530  0.017381  0.016896  0.016530  0.022726  0.021983  0.021187  0.020232      -11.99       6.028
   193 -0.0696  0.022616  0.021643  0.020262  0.019521  0.018557  0.017406  0.016919  0.016552  0.022763  0.022018  0.021220  0.020263      -11.85       5.957
   194 -0.0686  0.022659  0.021685  0.020302  0.019559  0.018594  0.017441  0.016954  0.016586  0.022806  0.022060  0.021261  0.020303      -11.71       5.887
   195 -0.0676  0.022702  0.021725  0.020340  0.019597  0.018631  0.017476  0.016989  0.016620  0.022849  0.022101  0.021301  0.020341      -11.57       5.817
   196 -0.0666  0.022747  0.021768  0.020382  0.019638  0.018671  0.017516  0.017028  0.016659  0.022895  0.022144  0.021343  0.020383      -11.43       5.746
   197 -0.0656  0.022792  0.021811  0.020424  0.019680  0.018715  0.017565  0.017082  0.016719  0.022940  0.022187  0.021385  0.020424      -11.29       5.673
   198 -0.0646  0.022837  0.021854  0.020465  0.019720  0.018752  0.017595  0.017107  0.016738  0.022985  0.022230  0.021427  0.020465      -11.15       5.605
   199 -0.0636  0.022879  0.021894  0.020504  0.019760  0.018793  0.017642  0.017158  0.016796  0.023028  0.022271  0.021467  0.020505      -11.01       5.532
   200 -0.0626  0.022913  0.021926  0.020534  0.019788  0.018818  0.017658  0.017169  0.016799  0.023062  0.022303  0.021498  0.020534      -10.87       5.464
   201 -0.0616  0.022935  0.021947  0.020552  0.019805  0.018834  0.017677  0.017192  0.016827  0.023084  0.022325  0.021518  0.020552      -10.73       5.391
   202 -0.0606  0.022956  0.021967  0.020568  0.019818  0.018843  0.017677  0.017185  0.016813  0.023105  0.022346  0.021538  0.020569      -10.59       5.323
   203 -0.0596  0.022985  0.021995  0.020595  0.019844  0.018869  0.017708  0.017220  0.016854  0.023134  0.022375  0.021565  0.020595      -10.45        5.25
   204 -0.0586  0.023015  0.022023  0.020621  0.019870  0.018894  0.017731  0.017243  0.016876  0.023164  0.022403  0.021592  0.020621      -10.31       5.179
   205 -0.0576  0.023046  0.022052  0.020648  0.019896  0.018919  0.017755  0.017266  0.016899  0.023195  0.022433  0.021621  0.020649      -10.17       5.108
   206 -0.0566  0.023076  0.022081  0.020676  0.019923  0.018945  0.017780  0.017291  0.016923  0.023225  0.022462  0.021649  0.020676      -10.03       5.038
   207 -0.0556  0.023112  0.022115  0.020709  0.019956  0.018978  0.017813  0.017323  0.016956  0.023261  0.022496  0.021683  0.020709      -9.885       4.967
   208 -0.0546  0.023147  0.022149  0.020742  0.019989  0.019011  0.017846  0.017356  0.016989  0.023297  0.022529  0.021716  0.020742      -9.745       4.896
   209 -0.0536  0.023179  0.022179  0.020772  0.020019  0.019040  0.017875  0.017385  0.017018  0.023329  0.022560  0.021746  0.020772      -9.604       4.826
   210 -0.0526  0.023210  0.022208  0.020800  0.020048  0.019068  0.017903  0.017413  0.017046  0.023360  0.022589  0.021775  0.020800      -9.464       4.755
   211 -0.0516  0.023230  0.022228  0.020818  0.020065  0.019084  0.017917  0.017427  0.017059  0.023381  0.022609  0.021794  0.020818      -9.323       4.684
   212 -0.0506  0.023240  0.022237  0.020825  0.020069  0.019087  0.017916  0.017425  0.017056  0.023391  0.022620  0.021803  0.020825      -9.182       4.613
   213 -0.0496  0.023253  0.022249  0.020834  0.020077  0.019092  0.017920  0.017427  0.017057  0.023403  0.022632  0.021813  0.020834      -9.042       4.542
   214 -0.0486  0.023267  0.022262  0.020845  0.020087  0.019101  0.017927  0.017433  0.017062  0.023417  0.022646  0.021826  0.020846      -8.901       4.472
   215 -0.0476  0.023285  0.022279  0.020861  0.020102  0.019115  0.017940  0.017446  0.017074  0.023435  0.022663  0.021843  0.020861       -8.76       4.401
   216 -0.0466  0.023306  0.022299  0.020880  0.020121  0.019133  0.017957  0.017463  0.017091  0.023456  0.022683  0.021862  0.020880      -8.619        4.33
   217 -0.0456  0.023328  0.022320  0.020900  0.020140  0.019153  0.017976  0.017482  0.017110  0.023478  0.022704  0.021883  0.020900      -8.479       4.259
   218 -0.0446  0.023351  0.022342  0.020922  0.020163  0.019175  0.017998  0.017504  0.017133  0.023502  0.022726  0.021905  0.020922      -8.338       4.188
   219 -0.0436  0.023375  0.022365  0.020945  0.020186  0.019198  0.018022  0.017528  0.017157  0.023526  0.022749  0.021927  0.020945      -8.197       4.118
